阿姨,a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4]
啊,a5,"modal particle ending sentence, showing affirmation, approval, or consent"
唉,ai1,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh"
哎哟,ai1 yo1,hey; ow; ouch; interjection of pain or surprise
挨,ai2,to suffer from; to endure; to tide over (a difficult period); to delay
癌症,ai2 zheng4,cancer
矮,ai3,low; short (in length)
爱,ai4,to love; affection; to be fond of; to like
爱不释手,ai4 bu4 shi4 shou3,to love sth too much to part with it (idiom); to fondle admiringly
爱戴,ai4 dai4,to love and respect; love and respect
爱好,ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4]
爱护,ai4 hu4,to cherish; to treasure; to take care of; to love and protect
暧昧,ai4 mei4,vague; ambiguous; equivocal; dubious
爱情,ai4 qing2,romance; love (romantic); CL:個|个[ge4]
爱惜,ai4 xi1,to cherish; to treasure; to use sparingly
爱心,ai4 xin1,compassion; CL:片[pian4]
安静,an1 jing4,quiet; peaceful; calm
安居乐业,an1 ju1 le4 ye4,live in peace and work happily (idiom)
安宁,an1 ning2,peaceful; tranquil; calm; composed
安排,an1 pai2,to arrange; to plan; to set up
安全,an1 quan2,safe; secure; safety; security
安慰,an1 wei4,to comfort; to console; CL:個|个[ge4]
安详,an1 xiang2,serene
安置,an1 zhi4,find a place for; help settle down; arrange for; to get into bed; placement
安装,an1 zhuang1,install; erect; fix; mount; installation
岸,an4,bank; shore; beach; coast; CL:個|个[ge4]
暗,an4,dark; gloomy; hidden; secret; muddled; obscure; in the dark
案件,an4 jian4,"law case; legal case; judicial case; CL:宗[zong1],樁|桩[zhuang1],起[qi3]"
案例,an4 li4,case (law); CL:個|个[ge4]
按摩,an4 mo2,massage
按时,an4 shi2,on time; before deadline; on schedule
暗示,an4 shi4,to hint; to suggest; suggestion; a hint
按照,an4 zhao4,according to; in accordance with; in the light of; on the basis of
昂贵,ang2 gui4,expensive; costly
凹凸,ao1 tu1,bumpy; uneven; slotted and tabbed joint; crenelation
熬,ao2,(of cooking) to boil for a long time; to endure; to suffer
奥秘,ao4 mi4,profound; deep; a mystery
八,ba1,eight; 8
扒,ba1,to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off
疤,ba1,scar
巴不得,ba1 bu4 de2,to be eager for; to long for; to look forward to
巴结,ba1 jie5,to fawn on; to curry favor with; to make up to
拔苗助长,ba2 miao2 zhu4 zhang3,to spoil things through excessive enthusiasm (idiom)
把,ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle
把关,ba3 guan1,to guard a pass; to check on sth
把手,ba3 shou3,handle; grip; knob
把握,ba3 wo4,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
把戏,ba3 xi4,acrobatics; jugglery; cheap trick; game
爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]"
霸道,ba4 dao4,"the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent"
罢工,ba4 gong1,a strike; to go on strike
吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?
掰,bai1,to break with both hands
白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai
摆,bai3,to arrange; to exhibit; to move to and fro; a pendulum
百,bai3,hundred; numerous; all kinds of; surname Bai
百分点,bai3 fen1 dian3,percentage point
摆脱,bai3 tuo1,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
拜访,bai4 fang3,pay a visit; call on
败坏,bai4 huai4,to ruin; to corrupt; to undermine
拜年,bai4 nian2,pay a New Year call; wish sb a Happy New Year
拜托,bai4 tuo1,request sb to do sth; please!
搬,ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically
班,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4]
颁布,ban1 bu4,"to issue; to proclaim; to enact (laws, decrees etc)"
颁发,ban1 fa1,issue; promulgate; award
斑纹,ban1 wen2,stripe; streak
班主任,ban1 zhu3 ren4,a teacher in charge of a class
版本,ban3 ben3,version; edition; release
半,ban4,half; semi-; incomplete; (after a number) and a half
办法,ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]"
办公室,ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1]
办理,ban4 li3,to handle; to transact; to conduct
伴侣,ban4 lv3,companion; mate; partner
伴随,ban4 sui2,to accompany; to follow; to occur together with; attendant
半途而废,ban4 tu2 er2 fei4,to give up halfway (idiom); leave sth unfinished
扮演,ban4 yan3,play the part of; act
帮忙,bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn
帮助,bang1 zhu4,assistance; aid; to help; to assist
绑架,bang3 jia4,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking
榜样,bang3 yang4,example; model; CL:個|个[ge4]
棒,bang4,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
磅,bang4,"see 磅秤 scale; platform balance; pound (unit of weight, about 454 grams)"
傍晚,bang4 wan3,in the evening; when night falls; towards evening; at night fall; at dusk
